filename,title,description,tags,url
stato-su-x-twitter-di-david-m-il-post-riguarda-il-machine-learning-probabilmente,(Contenuto non recuperabile),"Stato su X (Twitter) di David M. Il post riguarda il Machine Learning, probabilmente discutendo di modelli, tecniche o nuove pubblicazioni nel settore.","X, Twitter, Machine Learning, AI, Sviluppo",https://x.com/davidm_ml/status/1909863649096749082?t=QgRB3SY64g6deIx_2WwifQ&s=35
stato-su-x-twitter-di-poetengineer-il-post-probabilmente-unisce-concetti-di-inge,(Contenuto non recuperabile),"Stato su X (Twitter) di Poetengineer. Il post probabilmente unisce concetti di ingegneria, codice e arte o creatività, tipici del profilo ""poetengineer"".","X, Twitter, Ingegneria, Codice, Creatività, AI",https://x.com/poetengineer_\_/status/1910057249378099667?t=iw-t_AYakexiN3Mvzk1e6A&s=35
principles-of-design,Principles of Design,"Una vasta e ben organizzata raccolta di principi fondamentali e linee guida per il design, utile per chiunque si occupi di progettazione UI/UX o di prodotti.","Design, Principi, UI/UX, Linee Guida, Progettazione",https://principles.design/?s=35
stato-su-x-twitter-di-damon-crockett-il-post-riguarda-probabilmente-la-data-scie,(Contenuto non recuperabile),"Stato su X (Twitter) di Damon Crockett. Il post riguarda probabilmente la Data Science, l'analisi dei dati o la visualizzazione di informazioni complesse.","X, Twitter, Data Science, Visualizzazione, AI",https://x.com/DamonCrockett/status/1910752262470639854?t=YV4wDuiCXPaYl0wl85lOtA&s=35
i-replaced-google-photos-drive-and-docs-with-these-free-self-hosted-services-and,"I replaced Google Photos, Drive, and Docs with these free self-hosted services — and they're better, too","Articolo di XDA Developers che descrive come l'autore abbia sostituito i servizi cloud di Google (Foto, Drive, Docs) con alternative gratuite e self-hosted, spesso con benefici in termini di privacy e controllo.","Self-Hosted, Privacy, Alternative Cloud, Google, Open Source",https://www.xda-developers.com/replaced-google-photos-drive-docs/
stato-su-x-twitter-di-githubprojects-il-post-un-aggiornamento-o-una-promozione-d,(Contenuto non recuperabile),Stato su X (Twitter) di GithubProjects. Il post è un aggiornamento o una promozione di una nuova funzionalità o miglioramento del prodotto GitHub Projects.,"X, Twitter, GitHub, Project Management, Sviluppo",https://x.com/GithubProjects/status/1918500931517186410?t=GPx3SmFjRIn4K_jx3tOe_w&s=35
aidc-aiovis2-8b-hugging-face,AIDC-AI/Ovis2-8B · Hugging Face,"Pagina di Hugging Face per il modello Ovis2-8B di AIDC-AI. Si tratta di un Large Language Model (LLM) open-source, probabilmente focalizzato su prestazioni ed efficienza.","Hugging Face, LLM, AI, Modello Linguistico, Open Source",https://huggingface.co/AIDC-AI/Ovis2-8B
stato-su-x-twitter-di-god-of-prompt-un-altro-post-di-rilievo-sulla-prompt-engine,(Contenuto non recuperabile),"Stato su X (Twitter) di God of Prompt. Un altro post di rilievo sulla Prompt Engineering, che fornisce consigli, trucchi o esempi pratici su come interagire efficacemente con i modelli AI.","X, Twitter, Prompt Engineering, AI, LLM",https://x.com/godofprompt/status/1919391876882313246?t=9cQHvWKnA6q6KXnj2qiGlw&s=35
manim-community,Manim Community,"Sito ufficiale della community per Manim, la popolare libreria Python utilizzata per creare animazioni matematiche e scientifiche di alta qualità, resa famosa da 3Blue1Brown.","Manim, Python, Animazione, Matematica, Open Source",https://www.manim.community/
markmapmarkmap-github,markmap/markmap - GitHub,Libreria JavaScript che permette di creare mappe mentali interattive e visualmente accattivanti direttamente da file Markdown. Ottima per organizzare pensieri e strutture di documenti.,"Markdown, Mappe Mentali, Visualizzazione Dati, JavaScript, GitHub",https://github.com/markmap/markmap?s=35
slidevjsslidev-github,slidevjs/slidev - GitHub,Un framework basato su Vue.js che permette di creare presentazioni ricche e dinamiche utilizzando file Markdown semplici. Supporta funzionalità avanzate come componenti Vue e il live reloading.,"Presentazioni, Markdown, Vue.js, Sviluppo Web, Framework",https://github.com/slidevjs/slidev?s=35
anytype,Anytype,"Una piattaforma di gestione della conoscenza e della produttività che si posiziona come alternativa open-source e focalizzata sulla privacy a strumenti come Notion. I dati sono gestiti in un ""cloud privato"" per l'utente.","PKM, Produttività, Open Source, Anytype, Privacy, Notetaking",https://anytype.io/
threejsresourcescom,threejsresources.com,Una galleria di siti web e applicazioni che utilizzano la popolare libreria JavaScript Three.js per la creazione di grafica 3D e rendering in tempo reale nel browser. Fonte di ispirazione per il web 3D.,"Three.js, 3D Web, JavaScript, Ispirazione, Grafica",
italiaawesome-italian-public-datasets-github,italia/awesome-italian-public-datasets - GitHub,"Una lista curata e collaborativa (awesome list) di dataset pubblici disponibili in Italia, utili per progetti di ricerca, analisi dati e intelligenza artificiale.","Dataset, Italia, Open Data, Ricerca, Data Science",https://github.com/italia/awesome-italian-public-datasets
electricity-2024-analysis-and-forecast-to-2026pdf,Electricity 2024 - Analysis and forecast to 2026.pdf,"Rapporto dettagliato dell'Agenzia Internazionale dell'Energia (IEA) che analizza il mercato globale dell'elettricità, fornendo previsioni e trend fino al 2026. Il focus è su fonti, consumo e politiche energetiche.","Energia, IEA, Elettricità, Rapporto, Previsioni",https://iea.blob.core.windows.net/assets/6b2fd954-2017-408e-bf08-952fdd62118a/Electricity2024-Analysisandforecastto2026.pdf
svg-to-css-generator,SVG to CSS Generator,"Uno strumento online che facilita la conversione di codice SVG in codice CSS, specificamente per l'uso come immagini di sfondo o per altri stili. Ottimo per ottimizzare il caricamento e l'uso delle icone vettoriali sul web.","SVG, CSS, Strumenti, Frontend, Sviluppo Web",https://css-generators.com/svg-to-css/?s=35
gemini-for-google-workspace-prompting-guide-101pdf,Gemini for Google Workspace Prompting Guide 101.pdf,Guida ufficiale per principianti creata da Google sull'uso efficace del prompt engineering per il modello Gemini all'interno degli strumenti di Google Workspace.,"Gemini, Prompt Engineering, Google Workspace, AI, Guida",https://services.google.com/fh/files/misc/gemini-for-google-workspace-prompting-guide-101.pdf?s=35
machine-learning-crash-course,Machine Learning Crash Course,"Il corso intensivo (Crash Course) di Machine Learning di Google, disponibile in italiano. Fornisce un'introduzione pratica e accelerata ai concetti fondamentali del Machine Learning.","Machine Learning, Google, Corso, AI, Formazione",
google-ai-studio,Google AI Studio,Piattaforma di sviluppo di Google che offre un ambiente per la prototipazione rapida e l'interazione con i modelli Gemini e altre API AI. Permette di sperimentare con l'AI e costruire applicazioni.,"Google, AI, Gemini, Sviluppo, Prototipazione",https://aistudio.google.com/
code-assist-by-google,Code Assist by Google,"Prodotto o funzionalità di Google per l'assistenza alla scrittura di codice tramite intelligenza artificiale, mirato a migliorare la produttività degli sviluppatori.","AI, Code Assist, Google, Sviluppo, Coding",https://codeassist.google/?hl=it
12-timeless-books-every-programmer-should-read-dev-community,12 Timeless Books Every Programmer Should Read - DEV Community,"Una lista curata di 12 libri fondamentali e ""senza tempo"" che ogni programmatore dovrebbe leggere per migliorare le proprie competenze tecniche, di design e di carriera.","Programmazione, Libri, Sviluppo Software, Carriera, Lettura",https://dev.to/somadevtoo/12-timeless-books-every-programmer-should-read-3202
email-browser-e-ricerche-le-migliori-alternative-europee-alle-big-tech-per-prote,"Email, browser e ricerche, le migliori alternative europee alle big tech per proteggere la privacy","Articolo di Wired Italia che propone e analizza le migliori alternative europee ai servizi offerti dalle grandi aziende tecnologiche (Big Tech), con un focus sulla protezione della privacy e sulla sovranità dei dati.","Privacy, Europa, Big Tech, Alternative, Wired Italia",
the-top-10-learnings-from-mary-meekers-latest-report-on-ai,The Top 10 Learnings from Mary Meeker's Latest Report on AI,Riepilogo dei 10 punti salienti e delle principali tendenze di mercato emerse dall'ultimo influente rapporto sull'AI di Mary Meeker.,"AI, Mary Meeker, Report, Trend Tecnologici, Analisi di Mercato",https://www.saastr.com/the-top-10-learnings-from-mary-meekers-latest-report-on-ai/?s=35
cooklang,Cooklang,"Un linguaggio di markup semplice e open-source pensato specificamente per scrivere, leggere e condividere ricette di cucina in formato testo puro e leggibile dall'uomo.","Ricette, Cooklang, Linguaggio Markup, Open Source, Cucina",https://cooklang.org/
uibot,UIBot,Una piattaforma o uno strumento di intelligenza artificiale per l'automazione e l'assistenza nella progettazione di interfacce utente (UI). Mira a velocizzare i flussi di lavoro di design e prototipazione.,"UI Design, AI, Automazione, Prototipazione, Strumenti",https://www.uibot.app/
overview-your-brain-on-chatgpt-mit-media-lab,Overview ‹ Your Brain on ChatGPT — MIT Media Lab,Ricerca del MIT Media Lab che esamina l'impatto cognitivo e neurologico dei Large Language Models (LLM) come ChatGPT sull'apprendimento e sul cervello umano.,"ChatGPT, LLM, Cognizione, Neuroscienze, MIT Media Lab",https://www.media.mit.edu/projects/your-brain-on-chatgpt/overview/#faq-is-it-safe-to-say-that-llms-are-in-essence-making-us-dumber
eurostack,EuroStack,"Un'iniziativa che promuove e mappa lo stack tecnologico europeo, includendo software, cloud e AI sviluppati in Europa. L'obiettivo è supportare l'indipendenza tecnologica europea.","Europa, Tecnologia, Sovranità Digitale, Open Source, EuroStack",https://www.euro-stack.info/
copyright-cases-should-not-threaten-chatbot-users-privacy,Copyright Cases Should Not Threaten Chatbot Users’ Privacy,Articolo della Electronic Frontier Foundation (EFF) che argomenta contro l'uso delle cause legali sul copyright per minacciare la privacy degli utenti dei chatbot AI.,"Copyright, AI, Privacy, EFF, Chatbot",
microsoft-work-trend-index-lai-per-evitare-la-giornata-lavorativa-infinita-micro,Microsoft Work Trend Index: l’AI per evitare la giornata lavorativa infinita - Microsoft News Center Italy,"Articolo che riassume il Work Trend Index di Microsoft, evidenziando come l'AI stia contribuendo a limitare le ore di lavoro eccessive, automatizzando compiti e migliorando la produttività.","AI, Lavoro, Produttività, Microsoft, Work Trend Index",https://news.microsoft.com/it-it/2025/06/24/microsoft-work-trend-index-lai-per-evitare-la-giornata-lavorativa-infinita/
2025worktrendindexannualreport680aaa7fe52ddpdf,2025_Work_Trend_Index_Annual_Report_680aaa7fe52dd.pdf,Il rapporto annuale completo 2025 del Microsoft Work Trend Index. Un documento approfondito che analizza l'evoluzione del lavoro e l'impatto dell'AI sulle professioni.,"Report, Microsoft, AI, Lavoro, Trend",https://assets-c4akfrf5b4d3f4b7.z01.azurefd.net/assets/2025/04/2025_Work_Trend_Index_Annual_Report_680aaa7fe52dd.pdf
paper-la-neuroscienza-dietro-la-scrittura-giugno-2025pdf-riflessioni-sulla-neuro,paper-la-neuroscienza-dietro-la-scrittura-giugno-2025.pdf (Riflessioni sulla Neuroscienza),Un file PDF (condiviso tramite Google Share) che presumibilmente approfondisce il legame tra la neuroscienza e i processi cognitivi alla base dell'atto della scrittura.,"Neuroscienza, Scrittura, Cognizione, Ricerca, PDF",https://share.google/dkxonkMJtzUKquEJW
nanny-state-index,Nanny State Index,"Indice che classifica i paesi in base alla misura in cui gli Stati regolamentano la vita dei cittadini, concentrandosi in particolare sulle politiche su alcol, tabacco e cibo. È una risorsa per l'analisi della libertà economica e personale in Europa.","Politica, Regolamentazione, Libertà, Europa, Nanny State",https://nannystateindex.org/?twclid=274judc48raljws0frxseulcrl&s=35
bitchat-come-funziona-lapp-di-messaggistica-che-non-ha-bisogno-di-internet,"Bitchat, come funziona l'app di messaggistica che non ha bisogno di internet","Articolo che descrive Bitchat, un'applicazione di messaggistica che utilizza tecnologie mesh network o simili per funzionare senza la necessità di una connessione internet tradizionale.","Messaggistica, Bitchat, Mesh Network, Internet, Wired Italia, Privacy",
revealed-hacked-sites-expired-domains-are-being-used-as-sources-for-chatgpts-rec,Revealed: Hacked Sites & Expired Domains Are Being Used as Sources for ChatGPT's Recommendations,Analisi che rivela come siti web compromessi o domini scaduti vengano inavvertitamente utilizzati come fonti da modelli AI come ChatGPT. Solleva preoccupazioni sulla qualità e sull'affidabilità delle informazioni generate dall'AI.,"ChatGPT, AI, Sicurezza Web, Affidabilità, Domini Scaduti",
le-allucinazioni-dellintelligenza-artificiale-sono-arrivate-in-tribunale,Le allucinazioni dell'intelligenza artificiale sono arrivate in tribunale,"Articolo che esplora il fenomeno delle ""allucinazioni"" (risposte errate o inventate) dell'intelligenza artificiale quando le LLM sono utilizzate in contesti legali. Discute i rischi di affidarsi all'AI in ambito giudiziario.","AI, Allucinazioni, Legale, Wired Italia, LLM",
if-design-trend-report-2025pdf,iF Design Trend Report 2025.pdf,"Il rapporto annuale di iF Design che analizza le tendenze globali del design per l'anno 2025, coprendo trasformazioni sociali, tecnologiche ed economiche. È una risorsa chiave per i professionisti del design.","Design, Trend Report, iF Design, Innovazione, AI, PDF",https://ifdesign.com/iF-Design-Trend-Report-2025.pdf
k-scale-labs-open-source-humanoid-robots-built-for-developers-robot-umanoide,"K-Scale Labs: Open-source humanoid robots, built for developers (Robot Umanoide)","Contenuto (condiviso tramite Google Share) che riguarda K-Scale Labs, un progetto focalizzato sulla creazione di robot umanoidi open-source e accessibili per la comunità degli sviluppatori e della robotica.","Robotica, Umanoide, Open Source, Sviluppo, K-Scale Labs",https://share.google/A0Raylarzkqg9QfFQ
mark-zuckerberg-ha-chiuso-con-un-patteggiamento-il-processo-da-8-miliardi-che-lo,Mark Zuckerberg ha chiuso con un patteggiamento il processo da 8 miliardi che lo accusava di aver sacrificato la privacy dei suoi utenti,"Articolo che tratta della risoluzione di una causa multimiliardaria contro Mark Zuckerberg e Meta, in cui l'accusa riguardava la presunta violazione della privacy degli utenti.","Meta, Zuckerberg, Privacy, Legale, Wired Italia",
stato-su-x-twitter-di-satya-nadella-ceo-di-microsoft-il-post-riguarda-probabilme,(Contenuto non recuperabile),"Stato su X (Twitter) di Satya Nadella, CEO di Microsoft. Il post riguarda probabilmente annunci, visioni o riflessioni sull'AI o sulle iniziative di Microsoft.","X, Twitter, Satya Nadella, Microsoft, AI",https://x.com/satyanadella/status/1948101877486452897?t=OigLQjQSbXgL9t2c8b06lQ&s=35
avanzano-le-community-della-disintossicazione-digitale-consapevole-il-sole-24-or,Avanzano le community della disintossicazione digitale consapevole - Il Sole 24 ORE (Digital Detox),Articolo che discute la crescita e l'impatto delle comunità e dei movimenti focalizzati sulla disintossicazione digitale e sull'uso consapevole della tecnologia.,"Digital Detox, Consapevolezza Digitale, Comunità, Tecnologia, Il Sole 24 ORE",https://share.google/CJoShnypQzLo1umMc
httpsfuturismcomopenai-investor-chatgpt-mental-health,https://futurism.com/openai-investor-chatgpt-mental-health,Articolo che riporta le preoccupazioni di un ex-investitore di OpenAI che ritiene che l'uso diffuso di ChatGPT stia contribuendo a una crisi della salute mentale. Le preoccupazioni si concentrano sull'eccessiva dipendenza dall'AI per la consulenza personale o emotiva.,"ChatGPT, AI, Salute Mentale, Etica, OpenAI",https://futurism.com/openai-investor-chatgpt-mental-health
httpsstormgeniestanfordedus35,https://storm.genie.stanford.edu/?s=35,Progetto di ricerca di Stanford su agenti AI multi-pass che migliorano l'affidabilità e la profondità delle risposte AI attraverso l'autocorrezione e l'analisi selettiva delle informazioni. Il modello si comporta come un ricercatore umano.,"AI, STORM, Stanford, Ricerca, Agenti AI, LLM",https://storm.genie.stanford.edu/?s=35
httpsgithubcomengineer1999a-curated-list-of-ml-system-design-case-studies,https://github.com/Engineer1999/A-Curated-List-of-ML-System-Design-Case-Studies,Un elenco curato su GitHub di casi di studio e risorse per l'apprendimento della progettazione di sistemi di Machine Learning in contesti reali (System Design). Utile per ingegneri ML e data scientists.,"Machine Learning, System Design, GitHub, Ingegneria ML",https://github.com/Engineer1999/A-Curated-List-of-ML-System-Design-Case-Studies
contenuto-condiviso-tramite-google-share-che-riguarda-una-tecnica-di-sviluppo-we,(Contenuto non recuperabile),"Contenuto (condiviso tramite Google Share) che riguarda una tecnica di sviluppo web per creare un effetto ""scroll-spy"" (che evidenzia automaticamente la sezione in vista) utilizzando pochissimo codice CSS.","CSS, Sviluppo Web, Frontend, Scroll-spy, Tecnica",https://share.google/bkRUsU1fGAY7vnbm0
articolo-della-famosa-risorsa-css-tricks-che-discute-i-metodi-e-le-fonti-per-sco,(Contenuto non recuperabile),Articolo della famosa risorsa CSS-Tricks che discute i metodi e le fonti per scoprire nuove e interessanti tecniche e trucchi CSS (condiviso tramite Google Share).,"CSS, CSS-Tricks, Sviluppo Web, Frontend, Ispirazione",https://share.google/dYRlbI1ko6NLFVmfV
stato-su-x-twitter-di-google-ai-devs-il-post-un-annuncio-ufficiale-o-un-aggiorna,(Contenuto non recuperabile),"Stato su X (Twitter) di Google AI Devs. Il post è un annuncio ufficiale o un aggiornamento sui nuovi strumenti, modelli o API di intelligenza artificiale di Google.","X, Twitter, Google AI, Sviluppo, AI",https://x.com/googleaidevs/status/1951343120144388364?t=qWSCc_toUHE3t25Vcd5r8Q&s=35
articolo-che-parla-di-una-pittura-innovativa-a-base-di-grafene-che-grazie-alle-s,(Contenuto non recuperabile),"Articolo che parla di una pittura innovativa a base di grafene, che, grazie alle sue proprietà conduttive, può essere utilizzata per riscaldare gli ambienti in modo più efficiente rispetto ai sistemi tradizionali.","Grafene, Tecnologia, Riscaldamento, Wired Italia, Innovazione",https://share.google/NBFAMtOjh9Fx10Fxn
httpshackadaycom20250723the-death-of-industrial-design-and-the-era-of-dull-elect,https://hackaday.com/2025/07/23/the-death-of-industrial-design-and-the-era-of-dull-electronics/,Articolo su Hackaday che lamenta l'omologazione estetica e il declino del design industriale distintivo nei prodotti elettronici moderni.,"Design Industriale, Elettronica, Hackaday, Estetica, Critica",https://hackaday.com/2025/07/23/the-death-of-industrial-design-and-the-era-of-dull-electronics/
httpswwwmicrosoftcomen-usresearchpublicationworking-with-ai-measuring-the-occupa,https://www.microsoft.com/en-us/research/publication/working-with-ai-measuring-the-occupational-implications-of-generative-ai/,"Pubblicazione di Microsoft Research che analizza e quantifica le implicazioni dell'AI generativa sui ruoli lavorativi, misurando come l'AI stia rimodellando le mansioni e le competenze richieste.","AI Generativa, Lavoro, Microsoft Research, Implicazioni Occupazionali, Economia",https://www.microsoft.com/en-us/research/publication/working-with-ai-measuring-the-occupational-implications-of-generative-ai/
httpswwwbbccomculturearticle20161004-was-modern-art-a-weapon-of-the-cias35,https://www.bbc.com/culture/article/20161004-was-modern-art-a-weapon-of-the-cia?s=35,Articolo della BBC che esplora la controversa teoria secondo cui la CIA avrebbe segretamente promosso l'Espressionismo Astratto e l'Arte Moderna come arma culturale durante la Guerra Fredda.,"Arte Moderna, CIA, Guerra Fredda, Storia, Cospirazione",https://www.bbc.com/culture/article/20161004-was-modern-art-a-weapon-of-the-cia?s=35
contenuto-condiviso-tramite-google-share-che-riguarda-humanity-protocol-una-bloc,(Contenuto non recuperabile),"Contenuto (condiviso tramite Google Share) che riguarda Humanity Protocol, una blockchain per l'identità decentralizzata. Lo scopo è dare agli utenti il pieno controllo sui propri dati e sulla propria identità digitale.","Blockchain, Identità Decentralizzata, Humanity Protocol, Privacy, Web3",https://share.google/3vt4OGkG4jghMLRsQ
httpsgithubcomdanielmiesslerfabric,https://github.com/danielmiessler/fabric,"Un framework di ingegneria dell'AI open source che permette agli utenti di creare ""personaggi"" AI riutilizzabili e tool per compiti specifici. È l'alternativa open source per la creazione di flussi di lavoro AI.","AI, Open Source, Framework, Prompt Engineering, GitHub",https://github.com/danielmiessler/fabric
deepstatemap,DeepStateMAP,Мапа війни в Україні,"Mappa interattiva e aggiornata del conflitto in Ucraina, che mostra le linee del fronte e le dinamiche territoriali attuali. Offre un monitoraggio dettagliato e geolocalizzato della guerra.","Ucraina, Mappa, Guerra, Geopolitica, DeepStateMAP"
httpswwwreuterscominvestigatesspecial-reportmeta-ai-chatbot-deaths35,https://www.reuters.com/investigates/special-report/meta-ai-chatbot-death/?s=35,"Un'indagine di Reuters che rivela un caso in cui un chatbot AI di Meta ha avuto conversazioni inquietanti con un utente in lutto, suggerendogli l'autolesionismo. Solleva gravi questioni etiche sull'AI in ambito di salute mentale.","AI, Meta, Etica, Salute Mentale, Chatbot",https://www.reuters.com/investigates/special-report/meta-ai-chatbot-death/?s=35
stato-su-x-twitter-di-konsti-paulus-probabilmente-un-post-su-temi-di-design-uiux,(Contenuto non recuperabile),"Stato su X (Twitter) di Konsti Paulus. Probabilmente un post su temi di design, UI/UX o strumenti per sviluppatori e designer.","X, Twitter, Design, UI/UX, Sviluppo",https://x.com/konstipaulus/status/1954539980564435318?t=guI5HlfJCRe_RxgKU5n46g&s=35
250803430,$$2508.03430$$,Un paper di ricerca accademica che propone un nuovo approccio metodologico che utilizza la fantascienza per anticipare e guidare la ricerca scientifica e tecnologica.,"Ricerca, Fantascienza, Metodologia, AI, Paper",https://arxiv.org/abs/2508.03430
science-fiction-science-iyad-rahwan,Science Fiction Science — Iyad Rahwan,"Pagina web di Iyad Rahwan che spiega il concetto di ""Science Fiction Science"", un metodo per anticipare scenari futuri (spesso negativi) con l'AI e lavorare per prevenirli.","AI, Iyad Rahwan, Fantascienza, Ricerca, Etica AI",https://www.rahwan.me/science/sci-fi-sci
contenuto-condiviso-tramite-google-share-su-luigi-lineri-probabilmente-un-artist,(Contenuto non recuperabile),"Contenuto (condiviso tramite Google Share) su Luigi Lineri, probabilmente un artista o una figura legata alla cultura o alla tecnologia, data la natura degli altri link.","Arte, Cultura, Luigi Lineri, Condivisione",https://share.google/HuT9l9XvNi4PHR5Bf
home-page-permessonegato,Home Page - PermessoNegato,"Sito web dell'iniziativa ""Permesso Negato"" che si concentra sulla discriminazione delle donne nel mondo del lavoro, in particolare dopo la maternità. Il link punta anche al rapporto completo IBSA 2023 in PDF.","Lavoro, Donne, Maternità, Discriminazione, Report",https://www.permessonegato.it/
introduction-to-generative-ai-and-llms-generative-ai-for-beginners,Introduction to Generative AI and LLMs - Generative AI for Beginners,"Video o modulo didattico di Microsoft Learn per principianti, che introduce i concetti fondamentali dell'intelligenza artificiale generativa e dei Large Language Models (LLM).","AI Generativa, LLM, Formazione, Microsoft Learn, Principianti",https://learn.microsoft.com/en-us/shows/generative-ai-for-beginners/introduction-to-generative-ai-and-llms-generative-ai-for-beginners?s=35
contenuto-condiviso-tramite-google-share-che-presenta-una-classifica-dei-siti-we,(Contenuto non recuperabile),Contenuto (condiviso tramite Google Share) che presenta una classifica dei siti web più citati come fonti dai modelli di intelligenza artificiale. Utile per capire l'origine della conoscenza dell'AI.,"AI, Citazioni, Fonti, Ricerca, LLM",https://share.google/GV5MniTltsASgiwT4
studio-comparativo-condiviso-tramite-google-share-che-analizza-le-differenze-di-,(Contenuto non recuperabile),"Studio comparativo (condiviso tramite Google Share) che analizza le differenze di prestazioni e risultati tra la modalità AI di Google, la ricerca tradizionale e altri Large Language Models (LLM).","Google AI, Ricerca, LLM, Studio Comparativo, AI",https://share.google/jDAiXCEdczjTSnr98
science-vs-magic,Science vs Magic,"Un progetto online che indaga e gioca sul confine tra la scienza e ciò che può apparire come magia, spesso attraverso esperimenti tecnologici o illusioni.","Scienza, Tecnologia, Magia, Sperimentazione, Online",https://sciencevsmagic.net/
file-pdf-condiviso-tramite-google-share-probabilmente-un-paper-accademico-intito,(Contenuto non recuperabile),"File PDF (condiviso tramite Google Share) probabilmente un paper accademico intitolato ""Canaries,"" di autori Brynjolfsson, Chandar e Chen, che probabilmente analizza l'impatto economico o lavorativo dell'AI.","AI, Economia, Ricerca, Paper, Lavoro",https://share.google/B9PHv8ehEYHmr5cP1
articolo-condiviso-tramite-google-share-che-promuove-unalternativa-open-source-a,(Contenuto non recuperabile),"Articolo (condiviso tramite Google Share) che promuove un'alternativa open-source a Google NotebookLM, offrendo funzionalità simili ma con il pieno controllo dell'utente sui propri dati, enfatizzando la privacy.","NotebookLM, Open Source, AI, Privacy, Alternativa",https://share.google/h7tAuMW4SorVb7DR6
articolo-condiviso-tramite-google-share-che-riporta-i-dettagli-di-un-summit-tra-,(Contenuto non recuperabile),"Articolo (condiviso tramite Google Share) che riporta i dettagli di un summit tra OpenAI e Google DeepMind, dove è stato raggiunto un ""accordo cupo"", probabilmente su temi di governance e rischi dell'AI.","AI, OpenAI, Google DeepMind, Governance, Etica",https://share.google/5FDnVXnWqfmgCjoBJ
agi-social-contract-contratto-sociale-agi,"AGI Social Contract, Contratto Sociale AGI","Un'iniziativa che propone l'istituzione di un ""Contratto Sociale"" globale per guidare lo sviluppo e l'implementazione dell'Intelligenza Generale Artificiale (AGI).","AGI, Etica AI, Governance, Politica, Futuro",https://www.agisocialcontract.org/
beyond-resolution,Beyond Resolution,Un progetto o un sito che esplora l'arte digitale e la perdita di dettagli nelle immagini digitali. Potrebbe essere un'esplorazione artistica o filosofica della percezione del digitale.,"Arte Digitale, Risoluzione, Percezione, Filosofia",https://beyondresolution.info/
stato-su-x-twitter-di-fable-simulation-e-riguarda-probabilmente-gli-agenti-ai-e-,(Contenuto non recuperabile),Stato su X (Twitter) di Fable Simulation e riguarda probabilmente gli agenti AI e le simulazioni in mondi virtuali.,"X, Twitter, AI, Simulazione, Agenti AI",https://x.com/fablesimulation/status/1950589974262448505?t=w7Q7ky7lJF8MRnVJ-8VXWA&s=35
articolo-condiviso-tramite-google-share-che-descrive-un-esperimento-di-social-ne,(Contenuto non recuperabile),"Articolo (condiviso tramite Google Share) che descrive un esperimento di social network popolato esclusivamente da chatbot AI che interagiscono tra loro, studiando l'emergere di comportamenti sociali.","AI, Chatbot, Social Network, Esperimento, Il Sole 24 ORE",https://share.google/cVgnFlOlRbzthiQNC
t-index-which-languages-will-the-market-speak,T-Index: which languages will the market speak?,"Indice di Translated che analizza e predice quali saranno i linguaggi di programmazione più richiesti e parlati a livello globale in futuro, incrociando dati di traduzione e di mercato.","Linguaggi di Programmazione, Mercato del Lavoro, Trend, Translated",https://imminent.translated.com/t-index
guided-learning-in-gemini-from-answers-to-understanding,Guided Learning in Gemini: From answers to understanding,"Articolo del blog di Google che annuncia e descrive la nuova funzionalità ""Apprendimento Guidato"" in Gemini, progettata per aiutare gli utenti a passare da risposte semplici a una comprensione più profonda.","Gemini, Google, Apprendimento, AI, Education",https://blog.google/outreach-initiatives/education/guided-learning/
articolo-o-podcast-condiviso-tramite-link-di-the-atlantic-che-esamina-il-ruolo-d,(Contenuto non recuperabile),Articolo o podcast (condiviso tramite link di The Atlantic) che esamina il ruolo dell'intelligenza artificiale nel plasmare la competizione geopolitica tra modelli di democrazia e autocrazia.,"AI, Politica, Geopolitica, Democrazia, Autocrazia",https://www.theatlantic.com/podcasts/archive/2025/09/ai-and-the-fight-between-democracy-and-autocracy/684095/
articolo-condiviso-tramite-google-share-che-spiega-il-rischio-di-prompt-injectio,(Contenuto non recuperabile),"Articolo (condiviso tramite Google Share) che spiega il rischio di ""Prompt Injection"", una vulnerabilità in cui i modelli LLM vengono ingannati, e analizza perché Gemini potrebbe essere tra i sistemi a rischio.","Prompt Injection, Gemini, AI, Sicurezza, Wired Italia",https://share.google/6AJHwRhiU6mIVOBs2
articolo-condiviso-tramite-google-share-che-analizza-un-metodo-studiato-ad-harva,(Contenuto non recuperabile),Articolo (condiviso tramite Google Share) che analizza un metodo studiato ad Harvard o in contesti accademici per comprendere o manipolare la viralità dei contenuti sui social media.,"Viralità, Social Media, Harvard, Ricerca, Marketing",https://share.google/6FECo5Nvu3rz3isKR
in-albania-ci-sar-una-ministra-fatta-con-unintelligenza-artificiale-il-post,"In Albania ci sarà una ministra fatta con un’intelligenza artificiale, Il Post","Notizia che riporta l'intenzione del governo albanese di introdurre ""Diella"", un'intelligenza artificiale, nel gabinetto ministeriale per aiutare nel processo decisionale e nell'analisi dei dati.","AI, Albania, Politica, Diella, Governo",https://www.ilpost.it/2025/09/12/intelligenza-artificiale-diella-albania/
official-nano-banana-prompting-guide-with-test-case-comparisons,Official Nano-Banana Prompting Guide with Test Case Comparisons,"Guida ufficiale per il prompt engineering del modello ""Nano-Banana"" (un alias per un modello Gemini Flash/Nano), con confronti e casi d'uso per ottimizzare le prestazioni.","Prompt Engineering, Gemini, AI, Guida, Nano-Banana",https://generativeai.pub/official-nano-banana-prompting-guide-with-test-case-comparisons-93d15d27de4d
